title,link
"Is the US really heading into a recession?Stock market falls, tariffs and other changes are reigniting fear of economic downturn in the US.47 mins agoBusiness",https://www.bbc.com/news/articles/cgr21jjwg4wo
"Is Trump mulling a minerals deal with conflict-hit DR Congo?Endowed with minerals but losing ground to rebels, the Congolese government wants to boost security.13 hrs agoWorld",https://www.bbc.com/news/articles/cjryjlndddpo
Three American goods that could rise in price due to metal tariffsDonald Trump's plans for tariffs risk raising prices for items from cars to canned food.4 hrs agoBusiness,https://www.bbc.com/news/articles/c3vp06k90d5o
Trump says anti-Tesla protesters will face 'hell'The US president says protestors against Musk's Tesla brand should be labelled domestic terrorists.53 mins agoBusiness,https://www.bbc.com/news/articles/cqjdg4x08ylo
UK to 'keep options open' as Trump tariffs kick inDuty on steel and aluminium imports is a major hit for some of the US's top trading partners.23 mins agoBusiness,https://www.bbc.com/news/articles/cx2r3md0j84o
"US education department plans to cut half its workforceThe mass layoffs will impact nearly 2,100 people who are set to be placed on leave from 21 March.12 hrs agoUS & Canada",https://www.bbc.com/news/articles/c62zl638m71o
"What are tariffs and why is Trump using them?Tariffs are a central part of Trump's political vision, but economists fear they could spark a trade war.2 hrs agoWorld",https://www.bbc.com/news/articles/cn93e12rypgo
From chatbots to intelligent toys: How AI is booming in ChinaChina plans to invest more than a trillion dollars as it races against the US to rule advanced tech.2 days agoAsia,https://www.bbc.com/news/articles/ckg8jqj393eo
"How one product made a multi-million dollar brandNell Diamond, CEO of Hill House Home, shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019.See more",https://www.bbc.com/worklife/article/20241129-how-one-product-created-a-multi-million-dollar-brand
Trump halts plan for 50% steel and aluminium tariffs on CanadaIt comes after the Canadian province of Ontario said it would suspend a 25% surcharge on US-bound electricity.3 hrs agoBusiness,https://www.bbc.com/news/articles/cm2y811g1dgo
Trump is no longer swayed by the stock marketsThe assumption that the US president would row back on policies if shares fell no longer holds true.20 hrs agoBusiness,https://www.bbc.com/news/articles/c4g7vq29g74o
Global smartwatch sales fall for first timeMarket researchers say the slumping popularity of the market-leading Apple Watch was to blame21 hrs agoTechnology,https://www.bbc.com/news/articles/cx20d3r7p5do
Google Chromecast users' fury at second day of TV streaming issueGoogle says it is aware of an issue impacting some Chromecast devices and is working to fix.1 day ago,https://www.bbc.com/news/articles/ckgzm1lgv22o
Why people are cutting back their online profileA new wave of AI has spurred some to think more carefully about their online presence.2 days ago,https://www.bbc.com/news/articles/ce8y2eez8y2o
"European stocks steady after US markets plungeThe global sell-off eases in Europe after US shares are hit by President Trump saying the economy is in ""transition"".1 day agoBusiness",https://www.bbc.com/news/articles/c4gdwgjkk1no
"2 days agoFacebook 'worked hand in glove' with China on censor tools, claims ex-directorSocial media company considered letting Beijing control content for access to its lucrative market, BBC told.2 days agoTechnology",https://www.bbc.com/news/articles/cly820v99ppo
"1 day agoStarmer says UK benefit system unfair and indefensibleSome Labour MPs urge ministers to tackle the ""crisis of economic inactivity"", while others oppose cuts.1 day agoPolitics",https://www.bbc.com/news/articles/c0kgpyz3mmpo
"2 days agoIllegal working in UK was unbearable, migrant saysA migrant who returned home after working in a Cannabis farm in the UK is warning other Albanians.2 days agoKent",https://www.bbc.com/news/articles/cwyez0y6kvlo
"1 day ago'Garbage' to blame Ukraine for massive X outage, experts sayThe claim has been made by the platform's owner Elon Musk, a vocal critic of Ukraine and its president.1 day agoTechnology",https://www.bbc.com/news/articles/c62x5k44rl0o
"2 days agoOntario says it will slap a 25% surcharge on US-bound electricityThe move is in retaliation to Trump's tariff threats on Canada, and is expected to raise energy costs for 1.5 million US homes.2 days agoUS & Canada",https://www.bbc.com/news/articles/c5yrpnr6kr2o
2 days agoThe 'anti-Trump' numbers man who may force the UK to take a sideThe incoming Canadian PM has made standing up to his US counterpart a big part of his campaign.2 days agoBusiness,https://www.bbc.com/news/articles/c80y3m249z3o
"2 days agoMusk's Tesla facilities in US face 'Takedown' protestsIt is part of an effort to protest the role Tesla's billionaire owner, Elon Musk, has played in the Trump administration.2 days agoUS & Canada",https://www.bbc.com/news/articles/cnvze9dzq8vo
